序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）
7803,猎聘,能源/化工/环保,矿山,无人驾驶工程师-矿区方向,企业职位,某国内人力资源服务公司,500-999人,,西安,合肥,大专,1-3年,11-12k,,,,https://www.liepin.com/a/74405437.shtml,20260408192803,,,,
7804,猎聘,能源/化工/环保,矿山,销售,企业职位,合肥恒大江海泵业股份有限公司,100-499人,,西安,合肥-长丰县,大专,3-5年,5-10k,,,,https://www.liepin.com/job/1982034391.shtml,20260506165746,,,,
7805,猎聘,能源/化工/环保,矿山,销售员,企业职位,合肥恒大江海泵业股份有限公司,100-499人,,西安,合肥-长丰县,大专,3-5年,5-10k,,,,https://www.liepin.com/job/1982034267.shtml,20260506165746,,,,
7806,猎聘,能源/化工/环保,矿山,销售经理,企业职位,恒际水滨(上海)装备技术有限公司,100-499人,,西安,合肥-长丰县,大专,3年以上,5-10k,,,,https://www.liepin.com/job/1982020157.shtml,20260423110357,,,,
7807,猎聘,能源/化工/环保,矿山,销售,企业职位,恒际水滨(上海)装备技术有限公司,100-499人,,西安,合肥-长丰县,大专,3年以上,5-10k,,,,https://www.liepin.com/job/1982019779.shtml,20260423110506,,,,
7808,猎聘,能源/化工/环保,矿山,硬件工程师,企业职位,特码斯派克工业技术(安徽)有限公司,100-499人,,西安,合肥-高新区,本科,1-3年,8-15k,,,,https://www.liepin.com/job/1980508715.shtml,20260228110139,,,,
7809,猎聘,能源/化工/环保,矿山,交付部署工程师,企业职位,安徽海螺集团,10000人以上,,西安,芜湖-繁昌区,大专,1-3年,8-15k·16薪,,,,https://www.liepin.com/job/1980409099.shtml,20260225165118,,,,
7810,猎聘,能源/化工/环保,矿山,EHS工程师,企业职位,安徽壹能汽车科技有限公司,50-99人,,西安,芜湖-鸠江区,大专,5年以上,9-14k·13薪,,,,https://www.liepin.com/job/1976276887.shtml,20251013104712,,,,
7811,猎聘,能源/化工/环保,矿山,机械设计师,企业职位,某大型知名房地产开发经营公司,10000人以上,,西安,合肥,学历不限,10年以上,45-50k,,,,https://www.liepin.com/a/73328593.shtml,20260313092924,,,,
7812,猎聘,能源/化工/环保,矿山,中级爆破工程师,企业职位,大中矿业,2000-5000人,,西安,六安-霍邱县,大专,3-5年,15-20k,,,,https://www.liepin.com/job/1974304783.shtml,20250508084520,,,,
7813,猎聘,能源/化工/环保,矿山,工业智能-非煤信息化销售经理-合肥,企业职位,科大讯飞,10000人以上,,西安,合肥-高新区,本科,5年以上,13-20k,,,,https://www.liepin.com/job/1975207733.shtml,20250618143042,,,,
7814,猎聘,能源/化工/环保,矿山,矿业事业部 投资管理总监,企业职位,世银集团,100-499人,,西安,合肥-蜀山区,本科,10年以上,20-40k,,,,https://www.liepin.com/job/1971560681.shtml,20260408141248,,,,
