序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）,岗位类型一级,岗位类型二级,"岗位类型
企业/公务员/事业单位/军队文职"
153727,猎聘,能源/化工/环保,化学,水处理药剂研发专员,猎头职位,某国内大型环保公司,500-999人,,杭州,无锡,硕士,3-5年,12-20k,,,,https://www.liepin.com/a/75503551.shtml,20260604142628.0,,,,,,,
153728,猎聘,能源/化工/环保,化学,工艺专家，工艺博士,猎头职位,知名半导体公司,100-499人,,杭州,苏州,博士,经验不限,45-60k·13薪,,,,https://www.liepin.com/a/74412403.shtml,20260606224621.0,,,,,,,
153729,猎聘,能源/化工/环保,化学,工艺和持续改善工程师,猎头职位,某知名公司,1-49人,,杭州,苏州,本科,5-10年,20-26k·15薪,,,,https://www.liepin.com/a/76188185.shtml,20260609094400.0,,,,,,,
153730,猎聘,能源/化工/环保,化学,质量总监（密封条，英语要好）,猎头职位,某苏州大型橡胶/塑料制品公司,5000-10000人,,杭州,苏州,统招本科,5-10年,30-40k,,,,https://www.liepin.com/a/76093959.shtml,20260527100304.0,,,,,,,
153731,猎聘,能源/化工/环保,化学,研发总监（薄膜沉积）,猎头职位,某国内化工公司,50-99人,,杭州,南京,硕士,10年以上,80-100k,,,,https://www.liepin.com/a/75109983.shtml,20260602174901.0,,,,,,,
153732,猎聘,能源/化工/环保,化学,药化科学家/经理/总监,猎头职位,某苏州知名公司,100-499人,,杭州,苏州-工业园区,博士,5-10年,40-70k·14薪,,,,https://www.liepin.com/a/76163631.shtml,20260528143142.0,,,,,,,
153733,猎聘,能源/化工/环保,化学,电子浆料研发工程师,猎头职位,外资化工企业,5000-10000人,,杭州,苏州,硕士,经验不限,20-35k·14薪,,,,https://www.liepin.com/a/76335225.shtml,20260607103653.0,,,,,,,
153734,猎聘,能源/化工/环保,化学,技术经理,猎头职位,某知名化工公司,50-99人,,杭州,徐州,学历不限,10年以上,20-25k·13薪,,,,https://www.liepin.com/a/74873533.shtml,20260603193017.0,,,,,,,
153735,猎聘,能源/化工/环保,化学,电解质材料开发,猎头职位,某国内矿产开采上市公司,1000-2000人,,杭州,苏州,博士,2年以上,30-60k·15薪,,,,https://www.liepin.com/a/75897267.shtml,20260604113239.0,,,,,,,
153736,猎聘,能源/化工/环保,化学,苏州拓界-药化总监ADC-苏州,猎头职位,某苏州学术/科研公司,,,杭州,苏州-工业园区,博士,5-10年,80-100k,,,,https://www.liepin.com/a/76264413.shtml,20260601151205.0,,,,,,,
153737,猎聘,能源/化工/环保,化学,知识产权工程师,猎头职位,某南京医疗器械上市公司,5000-10000人,,杭州,南京,统招本科,5-7年,30-40k,,,,https://www.liepin.com/a/76423377.shtml,20260604164251.0,,,,,,,
153738,猎聘,能源/化工/环保,化学,安环总监,猎头职位,某上海制药公司,1-49人,,杭州,连云港,统招本科,10年以上,20-35k,,,,https://www.liepin.com/a/76158279.shtml,20260605094741.0,,,,,,,
153739,猎聘,能源/化工/环保,化学,药化合成高级研究员,猎头职位,某知名制药上市公司,10000人以上,,杭州,苏州,博士,经验不限,30-40k·14薪,,,,https://www.liepin.com/a/75762493.shtml,20260609091227.0,,,,,,,
153740,猎聘,能源/化工/环保,化学,连续流高级研究员,猎头职位,某大型知名制药公司,500-999人,,杭州,南京,本科,3-5年,15-30k,,,,https://www.liepin.com/a/73445027.shtml,20260609101048.0,,,,,,,
153741,猎聘,能源/化工/环保,化学,原料药技术负责人,猎头职位,某上海制药公司,100-499人,,杭州,南通,硕士,5-10年,30-60k,,,,https://www.liepin.com/a/73918445.shtml,20260608093542.0,,,,,,,
153742,猎聘,能源/化工/环保,化学,有机合成研究员,猎头职位,某国内大型制药公司,5000-10000人,,杭州,无锡,学历不限,8年以下,7-12k,,,,https://www.liepin.com/a/75565787.shtml,20260512130730.0,,,,,,,
153743,猎聘,能源/化工/环保,化学,研发质量管理 - 医疗器械/IVD/无缘/有缘,猎头职位,某医疗器械公司,500-999人,,杭州,南京,统招本科,7年以上,20-35k·14薪,,,,https://www.liepin.com/a/76234489.shtml,20260531184845.0,,,,,,,
153744,猎聘,能源/化工/环保,化学,小核酸设计科学家,猎头职位,某北京制药公司,100-499人,,杭州,苏州,博士,1年以上,40-70k,,,,https://www.liepin.com/a/74709887.shtml,20260608181939.0,,,,,,,
153745,猎聘,能源/化工/环保,化学,小核酸高级研究员,猎头职位,某大型知名制药公司,500-999人,,杭州,南京,本科,5-10年,20-40k·14薪,,,,https://www.liepin.com/a/76113419.shtml,20260609101047.0,,,,,,,
153746,猎聘,能源/化工/环保,化学,CADD,猎头职位,某制药公司,50-99人,,杭州,苏州,博士,经验不限,25-35k·14薪,,,,https://www.liepin.com/a/75701729.shtml,20260604090601.0,,,,,,,
153747,猎聘,能源/化工/环保,化学,药化科学家,猎头职位,某苏州知名公司,100-499人,,杭州,苏州-工业园区,硕士,5-10年,23-35k·14薪,,,,https://www.liepin.com/a/75660243.shtml,20260514105247.0,,,,,,,
153748,猎聘,能源/化工/环保,化学,硅负极材料资深工程师,猎头职位,某国内大型新能源公司,2000-5000人,,杭州,常州-新北区,本科,3-5年,22-35k·13薪,,,,https://www.liepin.com/a/75760577.shtml,20260608091026.0,,,,,,,
153749,猎聘,能源/化工/环保,化学,药化总监,猎头职位,某苏州医疗机构公司,50-99人,,杭州,苏州,博士,5-10年,60-90k·14薪,,,,https://www.liepin.com/a/75704999.shtml,20260603185354.0,,,,,,,
153750,猎聘,能源/化工/环保,化学,材料博士,猎头职位,某国内大型机械制造公司,500-999人,,杭州,无锡-锡山区,博士,经验不限,30-40k,,,,https://www.liepin.com/a/75571985.shtml,20260608100956.0,,,,,,,
153751,猎聘,能源/化工/环保,化学,药化设计科学家（ADC方向）,猎头职位,某南京大型制药公司,2000-5000人,,杭州,南京,学历不限,5-10年,30-40k,,,,https://www.liepin.com/a/75129975.shtml,20260609092950.0,,,,,,,
